persona,outcome,ols_r2
baseline,mret,1.0
baseline,vol,1.0
baseline,indpro,1.0
baseline,indprol1,1.0
baseline,Agric_vol,1.0
baseline,Food_vol,1.0
baseline,Soda_vol,1.0
baseline,Beer_vol,1.0
baseline,Smoke_vol,1.0
baseline,Toys_vol,0.9994118970756738
baseline,Fun_vol,1.0
baseline,Books_vol,1.0
baseline,Hshld_vol,0.892780542883119
baseline,Clths_vol,1.0
baseline,Hlth_vol,1.0
baseline,MedEq_vol,0.9951232324382332
baseline,Drugs_vol,0.9310159656477551
baseline,Chems_vol,1.0
baseline,Rubbr_vol,1.0
baseline,Txtls_vol,1.0
baseline,BldMt_vol,1.0
baseline,Cnstr_vol,1.0
baseline,Steel_vol,1.0
baseline,FabPr_vol,1.0
baseline,Mach_vol,1.0
baseline,ElcEq_vol,1.0
baseline,Autos_vol,1.0
baseline,Aero_vol,1.0
baseline,Ships_vol,1.0
baseline,Guns_vol,1.0
baseline,Gold_vol,1.0
baseline,Mines_vol,1.0
baseline,Coal_vol,1.0
baseline,Oil_vol,1.0
baseline,Util_vol,0.9999124391086408
baseline,Telcm_vol,1.0
baseline,PerSv_vol,1.0
baseline,BusSv_vol,1.0
baseline,Hardw_vol,1.0
baseline,Softw_vol,1.0
baseline,Chips_vol,1.0
baseline,LabEq_vol,0.9972704029110613
baseline,Paper_vol,1.0
baseline,Boxes_vol,0.9999192745411566
baseline,Trans_vol,1.0
baseline,Whlsl_vol,1.0
baseline,Rtail_vol,1.0
baseline,Meals_vol,0.9992793352553281
baseline,Banks_vol,1.0
baseline,Insur_vol,1.0
baseline,RlEst_vol,1.0
baseline,Fin_vol,1.0
baseline,Other_vol,1.0
bull,mret,1.0
bull,vol,1.0
bull,indpro,1.0
bull,indprol1,1.0
bull,Agric_vol,1.0
bull,Food_vol,1.0
bull,Soda_vol,1.0
bull,Beer_vol,1.0
bull,Smoke_vol,1.0
bull,Toys_vol,1.0
bull,Fun_vol,1.0
bull,Books_vol,1.0
bull,Hshld_vol,1.0
bull,Clths_vol,1.0
bull,Hlth_vol,1.0
bull,MedEq_vol,1.0
bull,Drugs_vol,1.0
bull,Chems_vol,1.0
bull,Rubbr_vol,1.0
bull,Txtls_vol,1.0
bull,BldMt_vol,1.0
bull,Cnstr_vol,1.0
bull,Steel_vol,1.0
bull,FabPr_vol,1.0
bull,Mach_vol,1.0
bull,ElcEq_vol,1.0
bull,Autos_vol,1.0
bull,Aero_vol,1.0
bull,Ships_vol,1.0
bull,Guns_vol,1.0
bull,Gold_vol,1.0
bull,Mines_vol,1.0
bull,Coal_vol,1.0
bull,Oil_vol,1.0
bull,Util_vol,1.0
bull,Telcm_vol,1.0
bull,PerSv_vol,0.9953784117248488
bull,BusSv_vol,1.0
bull,Hardw_vol,1.0
bull,Softw_vol,1.0
bull,Chips_vol,1.0
bull,LabEq_vol,0.9972704029110613
bull,Paper_vol,1.0
bull,Boxes_vol,1.0
bull,Trans_vol,1.0
bull,Whlsl_vol,1.0
bull,Rtail_vol,1.0
bull,Meals_vol,0.9992793352553281
bull,Banks_vol,1.0
bull,Insur_vol,1.0
bull,RlEst_vol,1.0
bull,Fin_vol,1.0
bull,Other_vol,1.0
bear,mret,1.0
bear,vol,1.0
bear,indpro,1.0
bear,indprol1,1.0
bear,Agric_vol,1.0
bear,Food_vol,1.0
bear,Soda_vol,1.0
bear,Beer_vol,1.0
bear,Smoke_vol,1.0
bear,Toys_vol,1.0
bear,Fun_vol,1.0
bear,Books_vol,1.0
bear,Hshld_vol,1.0
bear,Clths_vol,1.0
bear,Hlth_vol,1.0
bear,MedEq_vol,1.0
bear,Drugs_vol,0.9991417579330791
bear,Chems_vol,1.0
bear,Rubbr_vol,1.0
bear,Txtls_vol,1.0
bear,BldMt_vol,1.0
bear,Cnstr_vol,1.0
bear,Steel_vol,1.0
bear,FabPr_vol,1.0
bear,Mach_vol,1.0
bear,ElcEq_vol,1.0
bear,Autos_vol,1.0
bear,Aero_vol,1.0
bear,Ships_vol,1.0
bear,Guns_vol,1.0
bear,Gold_vol,1.0
bear,Mines_vol,1.0
bear,Coal_vol,1.0
bear,Oil_vol,1.0
bear,Util_vol,1.0
bear,Telcm_vol,1.0
bear,PerSv_vol,1.0
bear,BusSv_vol,1.0
bear,Hardw_vol,1.0
bear,Softw_vol,1.0
bear,Chips_vol,1.0
bear,LabEq_vol,1.0
bear,Paper_vol,1.0
bear,Boxes_vol,1.0
bear,Trans_vol,0.9995821567703808
bear,Whlsl_vol,0.9990495346150606
bear,Rtail_vol,1.0
bear,Meals_vol,1.0
bear,Banks_vol,1.0
bear,Insur_vol,1.0
bear,RlEst_vol,1.0
bear,Fin_vol,1.0
bear,Other_vol,1.0
